# H4_MM(GMSR) EOS. Reference paper: G.Grams, J.Margueron, R.Somasundaram, and S.Reddy, EPJA (2022) 58:56. https://doi.org/10.1140/epja/s10050-022-00706-w 
# Outer-Inner Crust Transition :
# nB_inner =   2.5282142292259004E-004 fm-3, rho =   7.1798191275380834      MeV/fm3, P =   5.4763060342489047E-004 MeV/fm3,  mu_cl_n =   2.6651916429173218E-004 MeV
# Crust-Core Transition:	
# nB_cc =   9.0609997736513612E-002 fm-3. rho =   18.131463559875652      MeV/fm3, P =  0.47616516763123967      MeV/fm3,  mu_cl_n_ =   9.0609997736513612E-002 MeV
#   nB(fm-3),        Acl,         Zcl,          ncl (fm-3),        Ye,        ng (fm-3),     V_WS (fm^3),  E/A-m_n (MeV),  P (MeV/fm^3),  mu_cl_n (MeV),     mu_cl_p (MeV)  
     0.3595E-06     0.6259E+02     0.2736E+02     0.1779E+00     0.4371E+00     0.0000E+00     0.1741E+09    -0.8151E+01     0.1265E-06    -0.8155E+01    -0.1016E+02
     0.3643E-06     0.6261E+02     0.2736E+02     0.1779E+00     0.4370E+00     0.0000E+00     0.1719E+09    -0.8146E+01     0.1287E-06    -0.8149E+01    -0.1017E+02
     0.3691E-06     0.6263E+02     0.2737E+02     0.1779E+00     0.4369E+00     0.0000E+00     0.1697E+09    -0.8142E+01     0.1310E-06    -0.8143E+01    -0.1018E+02
     0.3740E-06     0.6266E+02     0.2737E+02     0.1779E+00     0.4368E+00     0.0000E+00     0.1675E+09    -0.8138E+01     0.1333E-06    -0.8137E+01    -0.1019E+02
     0.3790E-06     0.6268E+02     0.2738E+02     0.1778E+00     0.4368E+00     0.0000E+00     0.1654E+09    -0.8133E+01     0.1357E-06    -0.8131E+01    -0.1020E+02
     0.3840E-06     0.6270E+02     0.2738E+02     0.1778E+00     0.4367E+00     0.0000E+00     0.1633E+09    -0.8129E+01     0.1381E-06    -0.8125E+01    -0.1020E+02
     0.3891E-06     0.6273E+02     0.2738E+02     0.1778E+00     0.4366E+00     0.0000E+00     0.1612E+09    -0.8124E+01     0.1405E-06    -0.8119E+01    -0.1021E+02
     0.3943E-06     0.6275E+02     0.2739E+02     0.1778E+00     0.4365E+00     0.0000E+00     0.1592E+09    -0.8120E+01     0.1430E-06    -0.8113E+01    -0.1022E+02
     0.3995E-06     0.6277E+02     0.2739E+02     0.1778E+00     0.4364E+00     0.0000E+00     0.1571E+09    -0.8115E+01     0.1455E-06    -0.8107E+01    -0.1023E+02
     0.4048E-06     0.6279E+02     0.2740E+02     0.1778E+00     0.4363E+00     0.0000E+00     0.1551E+09    -0.8111E+01     0.1481E-06    -0.8101E+01    -0.1024E+02
     0.4102E-06     0.6282E+02     0.2740E+02     0.1778E+00     0.4362E+00     0.0000E+00     0.1532E+09    -0.8106E+01     0.1507E-06    -0.8095E+01    -0.1025E+02
     0.4156E-06     0.6284E+02     0.2741E+02     0.1778E+00     0.4362E+00     0.0000E+00     0.1512E+09    -0.8102E+01     0.1534E-06    -0.8089E+01    -0.1025E+02
     0.4211E-06     0.6287E+02     0.2741E+02     0.1778E+00     0.4361E+00     0.0000E+00     0.1493E+09    -0.8097E+01     0.1561E-06    -0.8083E+01    -0.1026E+02
     0.4267E-06     0.6289E+02     0.2742E+02     0.1778E+00     0.4360E+00     0.0000E+00     0.1474E+09    -0.8093E+01     0.1588E-06    -0.8076E+01    -0.1027E+02
     0.4324E-06     0.6291E+02     0.2742E+02     0.1778E+00     0.4359E+00     0.0000E+00     0.1455E+09    -0.8088E+01     0.1616E-06    -0.8070E+01    -0.1028E+02
     0.4381E-06     0.6294E+02     0.2743E+02     0.1778E+00     0.4358E+00     0.0000E+00     0.1436E+09    -0.8083E+01     0.1645E-06    -0.8064E+01    -0.1029E+02
